iter	Passed	Remaining
0	1	193
1	3	183
2	13	444
3	16	391
4	18	343
5	19	307
6	21	286
7	24	279
8	26	264
9	28	252
10	30	244
11	32	241
12	32	241
13	44	296
14	46	285
15	51	290
16	53	279
17	55	268
18	57	260
19	60	253
20	61	244
21	63	235
22	73	255
23	74	247
24	78	244
25	79	235
26	91	258
27	93	249
28	95	241
29	104	251
30	106	243
31	109	239
32	125	263
33	129	259
34	133	255
35	136	249
36	148	259
37	152	255
38	165	265
39	176	271
40	180	266
41	183	259
42	190	258
43	193	251
44	196	245
45	199	239
46	211	243
47	216	239
48	220	234
49	226	231
50	228	224
51	238	224
52	242	218
53	245	212
54	246	205
55	247	198
56	259	198
57	261	192
58	267	189
59	271	183
60	273	177
61	276	172
62	284	170
63	286	163
64	288	157
65	290	152
66	292	146
67	305	146
68	308	140
69	315	137
70	320	132
71	357	140
72	364	136
73	371	132
74	402	135
75	405	129
76	407	123
77	410	117
78	426	114
79	429	108
80	432	102
81	434	96
82	436	90
83	440	84
84	444	79
85	453	74
86	455	68
87	459	63
88	460	57
89	474	53
90	489	48
91	491	43
92	493	37
93	502	32
94	504	26
95	509	21
96	523	16
97	526	10
98	529	5
99	530	0
