iter	Passed	Remaining
0	142	142528
1	146	72896
2	153	50986
3	161	40336
4	164	32809
5	167	27827
6	175	24907
7	177	22051
8	180	19841
9	184	18218
10	191	17240
11	194	15985
12	196	14924
13	200	14119
14	208	13686
15	210	12956
16	223	12923
17	226	12377
18	229	11847
19	239	11757
20	242	11306
21	245	10892
22	247	10530
23	257	10468
24	260	10152
25	271	10155
26	273	9864
27	276	9611
28	280	9382
29	283	9162
30	285	8932
31	294	8909
32	296	8697
33	300	8527
34	303	8372
35	314	8412
36	316	8246
37	319	8085
38	328	8088
39	330	7939
40	333	7799
41	348	7956
42	352	7836
43	410	8928
44	413	8778
45	416	8634
46	442	8963
47	444	8813
48	476	9244
49	539	10256
50	547	10180
51	550	10034
52	563	10074
53	579	10158
54	593	10194
55	610	10285
56	612	10129
57	614	9972
58	620	9899
59	626	9819
60	629	9690
61	641	9703
62	644	9582
63	646	9451
64	657	9461
65	660	9344
66	662	9232
67	672	9212
68	675	9119
69	687	9128
70	689	9021
71	691	8909
72	693	8807
73	704	8812
74	706	8707
75	708	8610
76	710	8515
77	712	8424
78	714	8333
79	716	8239
80	732	8307
81	763	8550
82	764	8449
83	767	8367
84	769	8286
85	771	8197
86	773	8115
87	776	8051
88	792	8111
89	794	8029
90	796	7954
91	797	7875
92	807	7874
93	809	7805
94	811	7728
95	812	7654
96	824	7673
97	829	7632
98	831	7563
99	833	7497
100	838	7465
101	841	7408
102	887	7725
103	903	7784
104	906	7723
105	916	7730
106	918	7666
107	920	7606
108	923	7549
109	929	7521
110	932	7465
111	934	7408
112	936	7354
113	950	7389
114	954	7343
115	956	7287
116	962	7267
117	964	7212
118	966	7156
119	968	7101
120	970	7047
121	971	6993
122	978	6975
123	979	6923
124	981	6871
125	983	6819
126	984	6769
127	995	6782
128	997	6738
129	999	6691
130	1002	6652
131	1010	6642
132	1012	6598
133	1013	6552
134	1016	6513
135	1019	6478
136	1021	6436
137	1027	6420
138	1034	6405
139	1036	6365
140	1039	6329
141	1040	6284
142	1041	6243
143	1043	6205
144	1050	6196
145	1052	6157
146	1054	6118
147	1056	6083
148	1058	6044
149	1060	6008
150	1067	6000
151	1069	5969
152	1071	5933
153	1080	5937
154	1082	5903
155	1085	5871
156	1087	5837
157	1088	5803
158	1095	5794
159	1097	5761
160	1098	5726
161	1100	5693
162	1102	5659
163	1103	5627
164	1110	5621
165	1113	5593
166	1118	5578
167	1128	5590
168	1132	5570
169	1139	5564
170	1141	5535
171	1145	5513
172	1147	5484
173	1149	5457
174	1158	5462
175	1163	5445
176	1165	5420
177	1167	5393
178	1169	5366
179	1172	5339
180	1173	5311
181	1175	5284
182	1182	5277
183	1183	5249
184	1185	5223
185	1187	5196
186	1189	5170
187	1190	5143
188	1197	5138
189	1203	5130
190	1206	5109
191	1213	5108
192	1216	5085
193	1218	5060
194	1219	5035
195	1221	5011
196	1228	5008
197	1230	4984
198	1232	4959
199	1234	4937
200	1236	4913
201	1238	4890
202	1283	5037
203	1284	5013
204	1296	5029
205	1298	5006
206	1314	5037
207	1317	5015
208	1319	4994
209	1330	5004
210	1332	4982
211	1335	4963
212	1349	4987
213	1352	4968
214	1360	4966
215	1366	4961
216	1369	4940
217	1371	4920
218	1374	4900
219	1376	4879
220	1378	4858
221	1387	4862
222	1390	4844
223	1391	4822
224	1393	4800
225	1440	4934
226	1454	4953
227	1467	4970
228	1470	4951
229	1472	4930
230	1475	4911
231	1481	4903
232	1483	4884
233	1485	4862
234	1487	4841
235	1489	4820
236	1491	4801
237	1498	4796
238	1500	4777
239	1503	4760
240	1511	4760
241	1513	4741
242	1516	4723
243	1520	4710
244	1528	4711
245	1531	4692
246	1535	4680
247	1537	4660
248	1544	4656
249	1554	4664
250	1557	4647
251	1559	4629
252	1562	4614
253	1565	4596
254	1572	4593
255	1578	4587
256	1581	4571
257	1588	4569
258	1591	4552
259	1593	4534
260	1595	4517
261	1597	4499
262	1599	4482
263	1601	4464
264	1614	4477
265	1616	4461
266	1618	4443
267	1622	4432
268	1624	4414
269	1635	4421
270	1637	4404
271	1639	4386
272	1641	4371
273	1651	4376
274	1768	4661
275	1771	4645
276	1773	4628
277	1789	4647
278	1799	4649
279	1802	4633
280	1804	4618
281	1813	4616
282	1815	4598
283	1818	4583
284	1820	4566
285	1828	4564
286	1854	4606
287	1869	4622
288	1878	4620
289	1880	4603
290	1882	4585
291	1898	4602
292	1901	4587
293	1903	4570
294	1911	4568
295	1913	4551
296	1915	4535
297	1918	4520
298	1926	4517
299	1945	4540
300	1952	4535
301	1955	4519
302	1957	4502
303	1959	4486
304	1962	4471
305	1994	4524
306	2003	4522
307	2008	4512
308	2010	4496
309	2026	4509
310	2034	4506
311	2036	4489
312	2037	4473
313	2040	4458
314	2050	4458
315	2052	4443
316	2056	4429
317	2058	4413
318	2071	4422
319	2074	4408
320	2082	4405
321	2084	4389
322	2087	4375
323	2089	4359
324	2097	4356
325	2100	4342
326	2102	4326
327	2103	4310
328	2107	4298
329	2109	4283
330	2111	4267
331	2114	4253
332	2115	4238
333	2119	4226
334	2123	4214
335	2130	4209
336	2132	4195
337	2134	4180
338	2136	4165
339	2138	4150
340	2145	4145
341	2147	4132
342	2149	4117
343	2151	4103
344	2153	4088
345	2197	4153
346	2200	4140
347	2217	4154
348	2218	4139
349	2226	4135
350	2229	4122
351	2231	4107
352	2233	4092
353	2241	4090
354	2243	4076
355	2245	4061
356	2248	4049
357	2250	4035
358	2257	4031
359	2259	4017
360	2261	4003
361	2263	3989
362	2346	4116
363	2348	4102
364	2359	4105
365	2362	4093
366	2371	4090
367	2380	4087
368	2390	4087
369	2392	4073
370	2394	4058
371	2397	4046
372	2404	4042
373	2406	4028
374	2409	4015
375	2426	4027
376	2429	4014
377	2437	4010
378	2445	4007
379	2477	4041
380	2518	4092
381	2555	4135
382	2559	4122
383	2560	4108
384	2568	4103
385	2570	4088
386	2572	4074
387	2574	4060
388	2576	4047
389	2583	4041
390	2585	4027
391	2591	4018
392	2593	4005
393	2601	4000
394	2606	3992
395	2609	3979
396	2616	3973
397	2618	3960
398	2620	3947
399	2622	3933
400	2624	3920
401	2633	3918
402	2637	3907
403	2648	3907
404	2652	3897
405	2658	3890
406	2661	3878
407	2663	3864
408	2665	3852
409	2678	3854
410	2681	3842
411	2684	3830
412	2695	3831
413	2697	3818
414	2701	3808
415	2707	3801
416	2709	3788
417	2711	3775
418	2713	3763
419	2716	3750
420	2723	3745
421	2725	3732
422	2727	3719
423	2729	3707
424	2730	3694
425	2733	3682
426	2739	3676
427	2741	3664
428	2746	3655
429	2749	3644
430	2752	3634
431	2754	3621
432	2756	3610
433	2763	3604
434	2770	3598
435	2772	3586
436	2779	3581
437	2786	3574
438	2789	3564
439	2792	3553
440	2796	3544
441	2797	3532
442	2799	3520
443	2806	3514
444	2808	3502
445	2810	3491
446	2812	3479
447	2814	3467
448	2820	3461
449	2822	3450
450	2825	3439
451	2830	3431
452	2838	3427
453	2841	3417
454	2843	3406
455	2846	3395
456	2853	3390
457	2855	3379
458	2857	3368
459	2859	3356
460	2861	3346
461	2868	3340
462	2870	3329
463	2876	3323
464	2879	3312
465	2886	3307
466	2889	3298
467	2891	3287
468	2893	3276
469	2900	3270
470	2902	3259
471	2904	3249
472	2906	3238
473	2908	3227
474	2910	3216
475	2912	3206
476	2918	3200
477	2920	3189
478	2931	3188
479	2933	3178
480	2935	3167
481	2959	3180
482	2961	3170
483	2964	3160
484	2976	3160
485	2978	3150
486	2980	3140
487	2984	3131
488	2992	3127
489	2994	3117
490	2996	3106
491	3014	3112
492	3017	3103
493	3032	3106
494	3035	3096
495	3049	3098
496	3052	3088
497	3054	3078
498	3061	3074
499	3063	3063
500	3066	3054
501	3068	3044
502	3074	3037
503	3077	3028
504	3079	3018
505	3085	3012
506	3092	3007
507	3094	2997
508	3097	2987
509	3099	2977
510	3100	2967
511	3108	2962
512	3110	2953
513	3112	2942
514	3114	2933
515	3117	2924
516	3119	2914
517	3121	2904
518	3127	2898
519	3135	2894
520	3138	2885
521	3140	2875
522	3153	2875
523	3155	2866
524	3157	2857
525	3159	2847
526	3166	2841
527	3167	2831
528	3170	2822
529	3173	2813
530	3175	2804
531	3183	2800
532	3185	2791
533	3190	2784
534	3199	2781
535	3202	2772
536	3205	2763
537	3212	2758
538	3214	2749
539	3217	2740
540	3218	2731
541	3221	2722
542	3229	2717
543	3230	2708
544	3232	2698
545	3245	2698
546	3247	2689
547	3250	2680
548	3261	2679
549	3263	2670
550	3266	2661
551	3268	2652
552	3275	2647
553	3277	2638
554	3279	2629
555	3281	2620
556	3283	2611
557	3285	2602
558	3287	2593
559	3289	2584
560	3295	2579
561	3298	2570
562	3300	2562
563	3309	2558
564	3311	2549
565	3314	2541
566	3316	2532
567	3323	2527
568	3326	2519
569	3328	2510
570	3331	2502
571	3333	2493
572	3340	2489
573	3342	2480
574	3349	2475
575	3357	2471
576	3360	2463
577	3362	2454
578	3364	2446
579	3375	2444
580	3380	2437
581	3388	2433
582	3391	2426
583	3395	2418
584	3397	2409
585	3404	2405
586	3406	2396
587	3409	2389
588	3424	2389
589	3444	2393
590	3446	2385
591	3449	2377
592	3454	2371
593	3464	2367
594	3467	2360
595	3481	2360
596	3484	2351
597	3490	2346
598	3499	2342
599	3501	2334
600	3505	2327
601	3512	2322
602	3514	2313
603	3516	2305
604	3518	2297
605	3520	2288
606	3527	2284
607	3529	2275
608	3550	2279
609	3553	2271
610	3560	2266
611	3562	2258
612	3565	2250
613	3567	2242
614	3569	2234
615	3576	2229
616	3579	2221
617	3602	2226
618	3608	2221
619	3611	2213
620	3613	2205
621	3615	2197
622	3618	2189
623	3627	2185
624	3634	2180
625	3642	2176
626	3646	2169
627	3648	2161
628	3656	2156
629	3659	2148
630	3660	2140
631	3662	2132
632	3666	2125
633	3673	2120
634	3675	2112
635	3680	2106
636	3691	2103
637	3693	2095
638	3697	2088
639	3706	2085
640	3709	2077
641	3712	2070
642	3721	2066
643	3724	2058
644	3739	2058
645	3741	2050
646	3745	2043
647	3749	2036
648	3752	2029
649	3754	2021
650	3764	2017
651	3770	2012
652	3799	2018
653	3802	2011
654	3815	2009
655	3830	2008
656	3833	2001
657	3851	2001
658	3869	2002
659	3880	1998
660	3882	1991
661	3885	1983
662	3896	1980
663	3898	1972
664	3914	1971
665	3917	1964
666	3926	1960
667	3930	1953
668	3934	1946
669	3938	1939
670	3946	1935
671	3953	1929
672	3963	1925
673	3965	1918
674	3968	1910
675	3971	1903
676	3973	1895
677	3976	1888
678	3991	1887
679	3995	1880
680	4005	1876
681	4008	1868
682	4011	1861
683	4013	1854
684	4015	1846
685	4018	1839
686	4032	1837
687	4034	1829
688	4038	1822
689	4046	1818
690	4048	1810
691	4051	1803
692	4053	1795
693	4064	1792
694	4066	1784
695	4068	1777
696	4076	1772
697	4080	1765
698	4089	1761
699	4093	1754
700	4095	1746
701	4109	1744
702	4112	1737
703	4114	1730
704	4117	1722
705	4120	1715
706	4122	1708
707	4130	1703
708	4133	1696
709	4135	1689
710	4137	1681
711	4139	1674
712	4147	1669
713	4153	1663
714	4167	1661
715	4170	1654
716	4179	1649
717	4183	1643
718	4185	1635
719	4212	1638
720	4214	1630
721	4216	1623
722	4218	1616
723	4231	1613
724	4233	1605
725	4248	1603
726	4261	1600
727	4263	1592
728	4265	1585
729	4268	1578
730	4271	1571
731	4273	1564
732	4285	1561
733	4287	1553
734	4291	1547
735	4293	1539
736	4301	1534
737	4303	1527
738	4305	1520
739	4307	1513
740	4315	1508
741	4317	1501
742	4319	1494
743	4321	1486
744	4341	1486
745	4356	1483
746	4364	1478
747	4366	1471
748	4368	1464
749	4378	1459
750	4380	1452
751	4383	1445
752	4389	1439
753	4392	1433
754	4394	1426
755	4397	1419
756	4399	1412
757	4407	1407
758	4409	1400
759	4411	1393
760	4413	1386
761	4421	1381
762	4428	1375
763	4438	1370
764	4440	1364
765	4444	1357
766	4446	1350
767	4454	1345
768	4459	1339
769	4474	1336
770	4477	1329
771	4480	1323
772	4482	1316
773	4485	1309
774	4493	1304
775	4496	1297
776	4498	1291
777	4501	1284
778	4509	1279
779	4512	1272
780	4518	1267
781	4529	1262
782	4532	1256
783	4542	1251
784	4545	1244
785	4547	1238
786	4556	1233
787	4559	1226
788	4562	1220
789	4581	1217
790	4616	1219
791	4621	1213
792	4623	1206
793	4626	1200
794	4641	1196
795	4670	1197
796	4677	1191
797	4686	1186
798	4700	1182
799	4703	1175
800	4706	1169
801	4709	1162
802	4717	1157
803	4719	1150
804	4721	1143
805	4724	1137
806	4732	1131
807	4735	1125
808	4757	1123
809	4760	1116
810	4762	1109
811	4764	1103
812	4770	1097
813	4773	1090
814	4775	1084
815	4778	1077
816	4780	1070
817	4789	1065
818	4792	1059
819	4797	1053
820	4809	1048
821	4812	1042
822	4822	1037
823	4825	1030
824	4840	1026
825	4843	1020
826	4845	1013
827	4855	1008
828	4857	1001
829	4859	995
830	4861	988
831	4869	983
832	4872	976
833	4874	970
834	4877	963
835	4885	958
836	4888	951
837	4901	947
838	4903	940
839	4906	934
840	4910	928
841	4912	921
842	4914	915
843	4916	908
844	4918	902
845	4926	896
846	4929	890
847	4935	884
848	4944	879
849	4946	872
850	4950	866
851	4952	860
852	4959	854
853	4962	848
854	4964	841
855	4966	835
856	4975	830
857	4983	824
858	4996	820
859	5009	815
860	5014	809
861	5022	804
862	5024	797
863	5027	791
864	5038	786
865	5040	779
866	5055	775
867	5057	769
868	5072	764
869	5075	758
870	5077	751
871	5080	745
872	5087	740
873	5089	733
874	5091	727
875	5094	721
876	5096	714
877	5103	709
878	5105	702
879	5108	696
880	5121	691
881	5123	685
882	5127	679
883	5135	673
884	5137	667
885	5140	661
886	5143	655
887	5150	649
888	5152	643
889	5155	637
890	5158	631
891	5166	625
892	5168	619
893	5174	613
894	5183	608
895	5186	602
896	5188	595
897	5191	589
898	5198	584
899	5201	577
900	5203	571
901	5206	565
902	5215	560
903	5218	554
904	5231	549
905	5233	543
906	5236	536
907	5238	530
908	5246	525
909	5247	519
910	5250	512
911	5252	506
912	5263	501
913	5265	495
914	5267	489
915	5278	484
916	5284	478
917	5293	472
918	5296	466
919	5299	460
920	5307	455
921	5313	449
922	5317	443
923	5325	438
924	5327	431
925	5329	425
926	5331	419
927	5333	413
928	5341	408
929	5344	402
930	5346	396
931	5348	390
932	5356	384
933	5358	378
934	5364	372
935	5374	367
936	5376	361
937	5393	356
938	5396	350
939	5431	346
940	5441	341
941	5444	335
942	5462	330
943	5474	324
944	5477	318
945	5488	313
946	5492	307
947	5510	302
948	5521	296
949	5524	290
950	5527	284
951	5536	279
952	5539	273
953	5542	267
954	5551	261
955	5554	255
956	5602	251
957	5605	245
958	5608	239
959	5624	234
960	5642	228
961	5652	223
962	5668	217
963	5672	211
964	5675	205
965	5684	200
966	5692	194
967	5695	188
968	5699	182
969	5713	176
970	5715	170
971	5720	164
972	5722	158
973	5726	152
974	5735	147
975	5738	141
976	5743	135
977	5746	129
978	5749	123
979	5758	117
980	5774	111
981	5777	105
982	5783	100
983	5786	94
984	5791	88
985	5801	82
986	5803	76
987	5806	70
988	5823	64
989	5834	58
990	5837	53
991	5840	47
992	5857	41
993	5861	35
994	5878	29
995	5888	23
996	5891	17
997	5894	11
998	5902	5
999	5905	0
